Paper_ID,DOI,Title,Lead_author,Institution,Journal,Published,Motivation,Oceanic_region,Area,Site,Size,System,Years_total,Date_start,Date_end,Run_mode,Yearly_trends_compared,Generic_species,Multiple_species,Species_scientific_name,Species_common_name,Species_type,Geographical_zone,Model_reuse,Model_name,Model_type,Model_movement,Physical_model,Nested_submodels,Model_resolution_min,Model_spatial_shape,Model_depth,Tidal_model_used,Bathymetry_model_used,Model_integration,Model_time_step,Model_time_step_type,Model_diffusion_scheme,Model_diffusion_direction,Model_diffusion_value,PLD_type,PLD_fixed,PLD_variable,PLD_stdev,Spawning_period,Spawning_interval,Spawning_release_sites,Spawning_settlement_sites,Spawning_depth_type,Spawning_depth_value,Spawning_depth_min,Spawning_depth_max,Spawning_initiation,Passive_movement,Diel_vertical_migration,Circatidal_migration,Pynocline_migration,Halocline_migration,Ontogentic_vertical_migration,Vertical_swimming_ability,Horizontal_swimming_ability,Sinking_velocity,Egg_buoyancy,Mortality,Mortality_rate,Mortality_function,Orientation,Orientation_type,Growth,Growth_func,Sensory_ability,Sensory_impl,Sensory_extent,Settlement_competency_window,Settlement_competency_type,Settlement_competency_factor,Settlement_competency_type_start,Settlement_site_type,Settlement_site_size,Particles_spawned_at_individual_type,Particles_spawned_at_individual_site,Particles_spawned_range_min,Particles_spawned_range_max,Particles_spawned_super_individual,Particles_spawned_period,Particles_spawned_total,Replicated_run,Sensitivity_analysis,Statistical_methods_used,Empirically_coupled,Dispersal_kernel,Temporal_kernel,Accumulation_kernel,Partial_summation,Minimum_arrival_time,Mean_distance,Median_distance,Distance_travelled_mean,Trajectory_travelled_mean,Distance_travelled_stdev,Distance_travelled_median,Direction_mean,Depth_mean,Distance_travelled_upper_quantile,Distance_travelled_max,Biophysical_matrix,Travel_time_mean,Isotropy,Positive_area,Seeded_area,Centre_of_mass,Aggregation_index,Mean_length,Connectance,Proportion_sites_settled,Connections_total,Connected_clusters_total,Connected_clusters_largest_size,Cross_shore_connectivity,Dispersion_index,Connectivity_metrics_potential,Connectivity_matrix_realised,Local_retention,Local_retention_mean,Local_retention_max,Self_recruitment,Self_recruitment_mean,Self_recruitment_max,Settlement_success,Settlement_success_mean,Settlement_success_min,Directional_exchange_rate,Export_probability,Source_sink_indicies,Graph_theory,Survived_%,,,,,
32,10.1016/j.marpolbul.2013.02.016 ,Modeling jellyfish Pelagia noctiluca transport and stranding in the Ligurian Sea ,Berline L,Mediterranean Institute of Oceanography ,Marine Pollution Bulletin,2013,DI,Mediterranean Sea,Italy,Ligurian Sea,Small,Open,2,2001,2006,Forecast,Both,FALSE,FALSE,Pelagia noctiluca,Mauve stinger,Cnidaria,Temperate,TRUE,ARIANE,IBM,L,NEMO,TRUE,1.25,Grid,100,FALSE,FALSE,NA,NA,Fixed,NA,NA,NA,Fixed,10,NA,NA,"Daily spawning 2001 & June-Aug 2001, 2006",Daily,3,NA,Fixed,5,NA,NA,Fixed,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA,NA,Littorial Zone,NA,Fixed,328,NA,NA,FALSE,Daily,328,FALSE,TRUE,Correlations,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,,,,,,
33,10.1016/j.ecss.2014.11.033,"Modeling larval connectivity of the Atlantic surfclams within the Middle Atlantic Bight: Model development, larval dispersal and metapopulation connectivity",Zhang X,Rutgers University,"Estuarine, Coastal and Shelf Science",2015,DS,North-East Atlantic,United States,Middle Atlantic Bight,Large,Open,4,2006,2009,Forecast,Between,FALSE,FALSE,Spisula solidissima,Atlantic surfclam,Bivalvia,Temperate,FALSE,Scl-IBM,IBM,L,ROMS,FALSE,6,Grid,60,TRUE,FALSE,In-line,240,Fixed,Random walk,Horizontal,NA,Fixed,35,NA,NA,May-October,5-day ,6,6,Fixed,NA,NA,NA,Fixed,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,TRUE,NA,FALSE,NA,NA,TRUE,Variable,Size,NA,Release Sites,NA,Fixed,6800,NA,NA,FALSE,5-day,800000,FALSE,FALSE,F-tests,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,119,NA,94,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,TRUE,0.102,0.197,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,,,,,,
33,10.1016/j.ecss.2014.11.033,"Modeling larval connectivity of the Atlantic surfclams within the Middle Atlantic Bight: Model development, larval dispersal and metapopulation connectivity",Zhang X,Rutgers University,"Estuarine, Coastal and Shelf Science",2015,DS,North-East Atlantic,United States,Middle Atlantic Bight,Large,Open,1,2006,2006,Forecast,Between,FALSE,FALSE,Spisula solidissima,Atlantic surfclam,Bivalvia,Temperate,FALSE,Scl-IBM,IBM,L,ROMS,FALSE,6,Grid,60,TRUE,FALSE,In-line,240,Fixed,Random walk,Horizontal,NA,Fixed,35,NA,NA,May-October,5-day ,6,6,Fixed,NA,NA,NA,Fixed,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,TRUE,NA,FALSE,NA,NA,TRUE,Variable,Size,NA,Release Sites,NA,Fixed,6800,NA,NA,FALSE,5-day,800000,FALSE,FALSE,F-tests,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,88.5,FALSE,FALSE,FALSE,383.9,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,TRUE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,,,,,,
33,10.1016/j.ecss.2014.11.033,"Modeling larval connectivity of the Atlantic surfclams within the Middle Atlantic Bight: Model development, larval dispersal and metapopulation connectivity",Zhang X,Rutgers University,"Estuarine, Coastal and Shelf Science",2015,DS,North-East Atlantic,United States,Middle Atlantic Bight,Large,Open,1,2006,2006,Forecast,Between,FALSE,FALSE,Spisula solidissima,Atlantic surfclam,Bivalvia,Temperate,FALSE,Scl-IBM,IBM,L,ROMS,FALSE,6,Grid,60,TRUE,FALSE,In-line,240,Fixed,Random walk,Horizontal,NA,Fixed,35,NA,NA,May-October,5-day ,6,6,Fixed,NA,NA,NA,Fixed,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,TRUE,NA,FALSE,NA,NA,TRUE,Variable,Size,NA,Release Sites,NA,Fixed,6800,NA,NA,FALSE,5-day,800000,FALSE,FALSE,F-tests,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,121.8,FALSE,FALSE,FALSE,439.1,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,TRUE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,,,,,,
33,10.1016/j.ecss.2014.11.033,"Modeling larval connectivity of the Atlantic surfclams within the Middle Atlantic Bight: Model development, larval dispersal and metapopulation connectivity",Zhang X,Rutgers University,"Estuarine, Coastal and Shelf Science",2015,DS,North-East Atlantic,United States,Middle Atlantic Bight,Large,Open,1,2006,2006,Forecast,Between,FALSE,FALSE,Spisula solidissima,Atlantic surfclam,Bivalvia,Temperate,FALSE,Scl-IBM,IBM,L,ROMS,FALSE,6,Grid,60,TRUE,FALSE,In-line,240,Fixed,Random walk,Horizontal,NA,Fixed,35,NA,NA,May-October,5-day ,6,6,Fixed,NA,NA,NA,Fixed,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,TRUE,NA,FALSE,NA,NA,TRUE,Variable,Size,NA,Release Sites,NA,Fixed,6800,NA,NA,FALSE,5-day,800000,FALSE,FALSE,F-tests,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,54.4,FALSE,FALSE,FALSE,253,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,TRUE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,,,,,,
33,10.1016/j.ecss.2014.11.033,"Modeling larval connectivity of the Atlantic surfclams within the Middle Atlantic Bight: Model development, larval dispersal and metapopulation connectivity",Zhang X,Rutgers University,"Estuarine, Coastal and Shelf Science",2015,DS,North-East Atlantic,United States,Middle Atlantic Bight,Large,Open,1,2006,2006,Forecast,Between,FALSE,FALSE,Spisula solidissima,Atlantic surfclam,Bivalvia,Temperate,FALSE,Scl-IBM,IBM,L,ROMS,FALSE,6,Grid,60,TRUE,FALSE,In-line,240,Fixed,Random walk,Horizontal,NA,Fixed,35,NA,NA,May-October,5-day ,6,6,Fixed,NA,NA,NA,Fixed,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,TRUE,NA,FALSE,NA,NA,TRUE,Variable,Size,NA,Release Sites,NA,Fixed,6800,NA,NA,FALSE,5-day,800000,FALSE,FALSE,F-tests,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,114.4,FALSE,FALSE,FALSE,436.7,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,TRUE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,,,,,,
34,10.1007/s10592-012-0404-4 ,Modelled larval dispersal and measured gene flow: seascape genetics of the common cockle Cerastoderma edule in the southern Irish Sea ,Corsica I,Aberystwyth University ,Conservation Genetics,2012,DS,North-East Atlantic,United Kingdom,Irish Sea,Large,Open,1,1990,1990,Forecast,NA,FALSE,FALSE,Cerastoderma edule,Common cockle,Bivalvia,Temperate,FALSE,PTM,IBM,L,POM,FALSE,1.85,Grid,200,FALSE,FALSE,Linear,300,Fixed,Random walk,Both,NA,Fixed,28,NA,NA,April-September,Monthly,5,5,NA,NA,NA,NA,Fixed,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,Buffer,10,FALSE,NA,NA,NA,Release Sites,NA,Fixed,10000,NA,NA,FALSE,Monthly,60000,FALSE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,TRUE,0.14,0.47,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,,,,,,
34,10.1007/s10592-012-0404-4 ,Modelled larval dispersal and measured gene flow: seascape genetics of the common cockle Cerastoderma edule in the southern Irish Sea ,Corsica I,Aberystwyth University ,Conservation Genetics,2012,DS,North-East Atlantic,United Kingdom,Irish Sea,Large,Open,1,1990,1990,Forecast,NA,FALSE,FALSE,Cerastoderma edule,Common cockle,Bivalvia,Temperate,FALSE,PTM,IBM,L,POM,FALSE,1.85,Grid,200,FALSE,FALSE,Linear,300,Fixed,Random walk,Both,NA,Fixed,28,NA,NA,April-September,Monthly,5,5,NA,NA,NA,NA,Fixed,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,Buffer,10,FALSE,NA,NA,NA,Release Sites,NA,Fixed,10000,NA,NA,FALSE,Monthly,60000,FALSE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,TRUE,0.806,0.99,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,,,,,,
34,10.1007/s10592-012-0404-4 ,Modelled larval dispersal and measured gene flow: seascape genetics of the common cockle Cerastoderma edule in the southern Irish Sea ,Corsica I,Aberystwyth University ,Conservation Genetics,2012,DS,North-East Atlantic,United Kingdom,Irish Sea,Large,Open,1,1990,1990,Forecast,NA,FALSE,FALSE,Cerastoderma edule,Common cockle,Bivalvia,Temperate,FALSE,PTM,IBM,L,POM,FALSE,1.85,Grid,200,FALSE,FALSE,Linear,300,Fixed,Random walk,Both,NA,Fixed,28,NA,NA,April-September,Monthly,5,5,NA,NA,NA,NA,Fixed,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,Buffer,10,FALSE,NA,NA,NA,Release Sites,NA,Fixed,10000,NA,NA,FALSE,Monthly,60000,FALSE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,TRUE,0.809,0.99,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,,,,,,
35,10.1111/geb.12101,Modelling dispersal and connectivity of broadcast spawning corals at the global scale,Wood S,University of Bristol,Global Ecology and Biogeography ,2014,DS,Global,Global,Global,Large,Open,8,2003,2011,Forecast,Between,TRUE,FALSE,NA,Broadcast spawning coral,Coral,Global,TRUE,CMS,IBM,L,HYCOM,FALSE,6,Grid,NA,FALSE,FALSE,RK4,14400,Fixed,Random walk,Both,7,Variable,120,NA,NA,Monthly,Monthly,12397,12397,Variable,NA,NA,NA,Fixed,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.02,Decay,FALSE,NA,FALSE,NA,FALSE,NA,NA,TRUE,Variable,Phased,NA,Reefs,18,Fixed,100,NA,NA,FALSE,Monthly,115000000,FALSE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,10000,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,FALSE,NA,NA,FALSE,FALSE,TRUE,FALSE,,,,,,
36,10.1016/j.seares.2012.07.010 ,Modelling dispersal dynamics of the early life stages of a marine flatfish (Solea solea L.) ,Lacroix G,Royal Belgian Institute of Natural Sciences ,Journal of Sea Research,2013,DS,North-East Atlantic,Europe,North Sea,Medium,Open,12,1995,2006,Forecast,Between,FALSE,FALSE,Solea solea,Common sole,Fish,Temperate,TRUE,SOLEMOD,IBM,L,NOS,FALSE,20,Grid,NA,FALSE,FALSE,NA,600,Fixed,Random walk,Vertical,NA,Variable,NA,Temperature,NA,Daily spawning,Temperature dependent (100 days),6,6,Variable,NA,NA,NA,Temperature,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.035,Linear,FALSE,NA,FALSE,NA,FALSE,NA,NA,TRUE,Fixed,NA,NA,Shallow Sandy/Mussy Coasts,NA,Fixed,100,NA,NA,TRUE,Daily,1890000,FALSE,TRUE,"MANOVA, Regression",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,203.3,NA,27.3,NA,FALSE,FALSE,FALSE,301.2,FALSE,FALSE,NA,NA,NA,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,TRUE,NA,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE,,,,,,
38,10.1007/s10236-013-0617-1 ,Modelling larval dispersal of the king scallop (Pecten maximus) in the English Channel: examples from the bay of Saint-Brieuc and the bay of Seine ,Nicolle A,Station Biologique de Roscoff,Ocean Dynamics,2013,DS,North-East Atlantic,France,"English Channel (Bay of Seine, Bay of Saint-Brieuc)",Medium,Open,10,2000,2009,Forecast,Between,FALSE,FALSE,Pecten maximus,King scallop,Bivalvia,Temperate,FALSE,NA,IBM,L,MARS-3D,FALSE,2,Grid,NA,TRUE,FALSE,RK4,NA,Fixed,Random walk,Vertical,NA,Both,34,NA,NA,Known Spawning Periods ,8 days,11,11,Fixed,NA,NA,NA,Temperature,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,Fixed,3000,NA,NA,FALSE,8-days,NA,FALSE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,35.4,NA,NA,NA,FALSE,FALSE,FALSE,65.05,FALSE,FALSE,0.07,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,,,,,,
38,10.1007/s10236-013-0617-1 ,Modelling larval dispersal of the king scallop (Pecten maximus) in the English Channel: examples from the bay of Saint-Brieuc and the bay of Seine ,Nicolle A,Station Biologique de Roscoff,Ocean Dynamics,2013,DS,North-East Atlantic,France,"English Channel (Bay of Seine, Bay of Saint-Brieuc)",Medium,Open,10,2000,2009,Forecast,Between,FALSE,FALSE,Pecten maximus,King scallop,Bivalvia,Temperate,FALSE,NA,IBM,L,MARS-3D,FALSE,2,Grid,NA,TRUE,FALSE,RK4,NA,Fixed,Random walk,Vertical,NA,Both,NA,Temperature,NA,Known Spawning Periods ,8 days,11,11,Fixed,NA,NA,NA,Temperature,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,Fixed,3000,NA,NA,FALSE,8-days,NA,FALSE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,27.5,NA,NA,NA,FALSE,FALSE,FALSE,54.06,FALSE,FALSE,0.08,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,,,,,,
38,10.1007/s10236-013-0617-1 ,Modelling larval dispersal of the king scallop (Pecten maximus) in the English Channel: examples from the bay of Saint-Brieuc and the bay of Seine ,Nicolle A,Station Biologique de Roscoff,Ocean Dynamics,2013,DS,North-East Atlantic,France,"English Channel (Bay of Seine, Bay of Saint-Brieuc)",Medium,Open,10,2000,2009,Forecast,Between,FALSE,FALSE,Pecten maximus,King scallop,Bivalvia,Temperate,FALSE,NA,IBM,L,MARS-3D,FALSE,2,Grid,NA,TRUE,FALSE,RK4,NA,Fixed,Random walk,Vertical,NA,Both,NA,Temperature,NA,Known Spawning Periods ,8 days,11,11,Fixed,NA,NA,NA,Temperature,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,Fixed,3000,NA,NA,FALSE,8-days,NA,FALSE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,28.4,NA,NA,NA,FALSE,FALSE,FALSE,55.32,FALSE,FALSE,0.11,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,,,,,,
39,10.1016/j.csr.2011.10.006 ,Modelling the potential transport of tropical fish larvae in the Leeuwin Current ,Pearce A,Curtin University of Technology,Continental Shelf Research,2011,DS,Indian Ocean,Australia,Rottnest Island,Large,Open,12,1993,2004,Forecast,Both,FALSE,FALSE,Abudefduf,Sergeant-majors,Fish,Tropical,TRUE,Connie,IBM,L,BRAN,FALSE,10,Grid,20,FALSE,FALSE,RK4,NA,Fixed,Random walk,Horizontal,1,Fixed,28,NA,NA,Weekly,Weekly,2,1,Variable,NA,NA,NA,Fixed,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,Buffer,20,TRUE,Fixed,NA,21,Island,6,Fixed,5400,NA,NA,FALSE,Weekly,3369600,FALSE,FALSE,Correlations,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,TRUE,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,TRUE,0.05,0.12,FALSE,0.005,NA,FALSE,FALSE,FALSE,FALSE,,,,,,
40,10.1111/mec.12924 ,Ocean circulation model predicts high genetic structure observed in a long-lived pelagic developer ,Sunday JM,University of British Columbia,Molecular Ecology,2014,DS,North-West Pacific,North America,California to south-eastern Alaska,Large,Open,1,NA,NA,Forecast,Between,FALSE,FALSE,Patiria miniata ,Bat star,Echinoderm,Temperate,TRUE,DROG3D,IBM,L,Foreman 2008,FALSE,0.1,Unstructured,NA,TRUE,FALSE,NA,1800,Fixed,FALSE,NA,NA,Fixed,70,NA,NA,Summer,NA,10,10,Variable,NA,NA,NA,Fixed,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,Buffer,50,TRUE,Fixed,NA,30,Region,220,Fixed,1000,NA,NA,FALSE,Annual,10000,FALSE,FALSE,"Correlations, Mantel tests",TRUE,TRUE (not shown),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,64.2,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,TRUE,0.36,0.755,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,,,,,,
41,10.1139/F2011-065 ,"Ocean circulation, Stokes drift, and connectivity of western rock lobster (Panulirus cygnus) population ",Feng M,CSIRO Marine and Atmospheric Research ,Canadian Journal of Fisheries and Aquatic Sciences,2011,DS,Indian Ocean,Australia,Western Australia,Large,Open,9,2001,2009,Forecast,Within,FALSE,FALSE,Panulirus cygnus,Western rock lobster,Crustacean,Temperate,TRUE,NA,IBM,L,BRAN,FALSE,10,Grid,300,FALSE,FALSE,RK4,3600,Fixed,Random walk,Horizontal,1,Fixed,420,NA,NA,16 Oct - 15 March,Daily,130,130,Variable,NA,40,80,Fixed,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA,FALSE,NA,TRUE,NA,FALSE,NA,NA,TRUE,Variable,Size,NA,Coast,10,Fixed,10,NA,NA,TRUE,Daily,5265000,FALSE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,TRUE,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,NA,NA,TRUE,0.003,NA,FALSE,FALSE,TRUE,FALSE,,,,,,
42,10.1016/j.ecolmodel.2012.04.011 ,Optimal selection of marine protected areas based on connectivity and habitat quality ,Berglund M,Chalmers University of Technology,Ecological Modelling,2012,DS,North-East Atlantic,Sweden,Baltic Sea,Large,Closed,25,1981,2005,Forecast,Between,FALSE,FALSE,Mytilus edulis/trossulus ,Blue mussel,Bivalvia,Temperate,TRUE,TRACMASS,IBM,L,RCO,FALSE,3.704,Grid,NA,FALSE,FALSE,Linear,21600,Fixed,Random walk,NA,NA,Fixed,21,NA,NA,6 days,6 days,5168,5168,Variable,NA,0,6,Fixed,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,TRUE,NA,FALSE,NA,NA,FALSE,NA,NA,NA,Measured in habitat quality,3.7,Fixed,140,NA,NA,FALSE,6 hour,452000000,FALSE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,10,NA,NA,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,TRUE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,,,,,,
44,10.1016/j.jtbi.2012.03.016 ,Orientation behavior in fish larvae: A missing piece to Hjort’s critical period hypothesis ,Staaterman E,University of Miami,Journal of Theoretical Biology,2012,TH,Gulf of Mexico,USA,Dry Tortugas ,Medium,Open,1,2007,2007,Forecast,Within,FALSE,FALSE,Stegastes partitus ,Bicolour damselfish,Fish,Tropical,TRUE,CMS,IBM,L,HYCOM,TRUE,0.9,Grid,NA,FALSE,FALSE,RK4,3600,Fixed,Random walk,Horizontal,0.7,Variable,32,NA,NA,April - August,Monthly,1,582,Variable,NA,NA,NA,Fixed,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,TRUE,Fixed,NA,24,Reef,2,Variable,NA,NA,NA,FALSE,Lunar cycle,5000,FALSE,FALSE,Kruskal-Wallis (Compare % settled),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,TRUE,0.0055,NA,FALSE,0.08,NA,FALSE,FALSE,FALSE,FALSE,,,,,,
