site,utc_date,utc_time,local_date,local_time,feature,feature_name,location,station,latitude,longitude,sst,temperature,salinity,chlorophyll_fluorescence,dissolved_oxygen,net_id,net_number,depth_range,mesh,start_time,end_time,volume_start,volume_end,volume
3,3/6/15,16:45,4/6/15,2:45,coastal,Coastal/Billow,north,3,-27.60944444,153.7458333,23.23,22.67637593,35.62934783,22.041,5.087114332,EZ03_4,M4,50-4,500,3:20,3:29,0,813.6,813.6
3,3/6/15,16:45,4/6/15,2:45,coastal,Coastal/Billow,north,3,-27.60944444,153.7458333,23.23,22.67463631,35.63092615,22.041,5.098825641,EZ03_5,M5,50-5,500,3:39,3:48,0,679.9,679.9
4,3/6/15,18:28,4/6/15,4:28,coastal,Coastal/Billow,north,4,-27.80055556,153.7847222,22.7,20.91565179,35.62682711,20.233,4.681686688,EZ04_2,M2,100-50,500,4:48,4:58,20.2,1026.1,1005.9
4,3/6/15,18:28,4/6/15,4:28,coastal,Coastal/Billow,north,4,-27.80055556,153.7847222,22.7,21.10060639,35.63597646,20.233,4.628315022,EZ04_3,M3,100-50,500,5:03,5:11,5.9,749.8,743.9
4,3/6/15,18:28,4/6/15,4:28,coastal,Coastal/Billow,north,4,-27.80055556,153.7847222,22.7,22.65447096,35.65964382,22.041,4.835056808,EZ04_4,M4,50-5,500,5:12,5:21,3.9,762.9,759
4,3/6/15,18:28,4/6/15,4:28,coastal,Coastal/Billow,north,4,-27.80055556,153.7847222,22.7,22.75675405,35.65252829,22.041,4.96991055,EZ04_5,M5,50-5,500,5:29,5:38,26.2,843.2,817
5,4/6/15,9:05,4/6/15,19:05,eddy,Big Eddy,north,1,-28.65277778,154.3425,22.5,20.00044497,35.58402955,21.442,4.105122807,EZ05_2,M2,101-49,500,19:22,19:31,0,653.1,653.1
5,4/6/15,9:05,4/6/15,19:05,eddy,Big Eddy,north,1,-28.65277778,154.3425,22.5,20.00044497,35.58402955,21.442,4.105122807,EZ05_3,M3,100-50,500,19:34,19:43,0,693.5,693.5
5,4/6/15,9:05,4/6/15,19:05,eddy,Big Eddy,north,1,-28.65277778,154.3425,22.5,22.48998535,35.63834902,27.52,5.148360568,EZ05_4,M4,50-6,500,19:43,19:52,0,695.5,695.5
5,4/6/15,9:05,4/6/15,19:05,eddy,Big Eddy,north,1,-28.65277778,154.3425,22.5,22.49875517,35.63708481,27.52,5.148321528,EZ05_5,M5,50-6,500,19:55,20:04,933,1669.9,736.9
6,4/6/15,10:52,4/6/15,20:52,eddy,Big Eddy,north,2,-28.77972222,154.3505556,22.5,20.61761158,35.60587224,21.442,4.290992647,EZ06_2,M2,103-51,500,21:01,21:10,0,751.5,751.5
6,4/6/15,10:52,4/6/15,20:52,eddy,Big Eddy,north,2,-28.77972222,154.3505556,22.5,20.94674315,35.61187121,21.442,4.40700092,EZ06_3,M3,100-51,500,21:13,21:22,0,751.9,751.9
6,4/6/15,10:52,4/6/15,20:52,eddy,Big Eddy,north,2,-28.77972222,154.3505556,22.5,22.31228857,35.62146161,27.52,5.111756545,EZ06_4,M4,52-7,500,21:22,21:32,0,730.8,730.8
6,4/6/15,10:52,4/6/15,20:52,eddy,Big Eddy,north,2,-28.77972222,154.3505556,22.5,22.31554537,35.62853795,27.52,5.116509591,EZ06_5,M5,50-8,500,21:35,21:45,1022.8,1853,830.2
7,4/6/15,14:20,5/6/15,0:20,eddy,Big Eddy,north,3,-28.84166667,154.4888889,22.52,20.1830511,35.59973897,20.752,4.190476103,EZ07_2,M2,101-50,500,0:31,0:40,0,727,727
7,4/6/15,14:20,5/6/15,0:20,eddy,Big Eddy,north,3,-28.84166667,154.4888889,22.52,20.68712605,35.61313967,20.752,4.366675236,EZ07_3,M3,101-50,500,0:44,0:54,0,852.4,852.4
7,4/6/15,14:20,5/6/15,0:20,eddy,Big Eddy,north,3,-28.84166667,154.4888889,22.52,22.43262328,35.63384874,26.023,5.124248739,EZ07_4,M4,51-6,500,0:54,1:04,0,743,743
7,4/6/15,14:20,5/6/15,0:20,eddy,Big Eddy,north,3,-28.84166667,154.4888889,22.52,22.42726337,35.6355748,26.023,5.137951043,EZ07_5,M5,51-6,500,1:08,1:17,1057.7,1830.9,773.2
8,4/6/15,16:00,5/6/15,2:00,eddy,Big Eddy,north,4,-28.96777778,154.5213889,22.4,20.51635105,35.6156145,20.752,4.363906489,EZ08_2,M2,105-50,500,2:12,2:20,0,704.3,704.3
8,4/6/15,16:00,5/6/15,2:00,eddy,Big Eddy,north,4,-28.96777778,154.5213889,22.4,20.72991665,35.62312939,20.752,4.416376128,EZ08_3,M3,101-51,500,2:26,2:34,0,706.5,706.5
8,4/6/15,16:00,5/6/15,2:00,eddy,Big Eddy,north,4,-28.96777778,154.5213889,22.4,22.48479145,35.63446872,26.023,5.134827313,EZ08_4,M4,54-6,500,2:35,2:44,0,690,690
8,4/6/15,16:00,5/6/15,2:00,eddy,Big Eddy,north,4,-28.96777778,154.5213889,22.4,22.47086632,35.6306,26.023,5.13625283,EZ08_5,M5,52-7,500,2:50,2:59,1269,2003,734
9,9/6/15,9:38,9/6/15,19:37,eddy,Southern Forster Freddy,south,1,-32.80638889,153.2508333,21.1,19.57248382,35.51260846,17.699,4.75560386,EZ09_2,M2,100-50,500,19:48,19:56,0,783.5,783.5
9,9/6/15,9:38,9/6/15,19:37,eddy,Southern Forster Freddy,south,1,-32.80638889,153.2508333,21.1,19.76610477,35.51891054,17.699,4.828068588,EZ09_3,M3,100-50,500,20:01,20:09,0,782.5,782.5
9,9/6/15,9:38,9/6/15,19:37,eddy,Southern Forster Freddy,south,1,-32.80638889,153.2508333,21.1,20.67142473,35.55648371,30.98,5.240028404,EZ09_4,M4,50-5,500,20:10,20:20,0,852,852
9,9/6/15,9:38,9/6/15,19:37,eddy,Southern Forster Freddy,south,1,-32.80638889,153.2508333,21.1,20.77545026,35.56595163,30.98,5.25008938,EZ09_5,M5,50-5,500,20:25,20:33,1300,2060,760
10,9/6/15,12:38,9/6/15,22:38,eddy,Southern Forster Freddy,south,2,-32.90555556,153.4238889,20.7,19.06531522,35.50775676,17.699,4.592482482,EZ10_2,M2,100-50,500,22:48,22:56,0,733.2,733.2
10,9/6/15,12:38,9/6/15,22:38,eddy,Southern Forster Freddy,south,2,-32.90555556,153.4238889,20.7,19.1034142,35.50735146,17.699,4.579563948,EZ10_3,M3,100-50,500,23:00,23:08,0,779.2,779.2
10,9/6/15,12:38,9/6/15,22:38,eddy,Southern Forster Freddy,south,2,-32.90555556,153.4238889,20.7,20.49663395,35.53755739,30.98,5.106144942,EZ10_4,M4,50-5,500,23:09,23:16,0,759,759
10,9/6/15,12:38,9/6/15,22:38,eddy,Southern Forster Freddy,south,2,-32.90555556,153.4238889,20.7,20.41099161,35.54392236,30.98,5.235799172,EZ10_5,M5,50-5,500,23:21,23:29,1103,1890,787
11,9/6/15,14:51,10/6/15,0:57,eddy,Centre Forster Freddy,south,3,-32.64222222,153.1461111,20.8,19.52503183,35.46884173,18.554,4.713547662,EZ11_2,M2,100-50,500,1:03,1:12,0,726.5,726.5
11,9/6/15,14:51,10/6/15,0:57,eddy,Centre Forster Freddy,south,3,-32.64222222,153.1461111,20.8,19.12897919,35.4969628,18.554,4.590093888,EZ11_3,M3,100-50,500,1:17,1:26,0,918.4,918.4
11,9/6/15,14:51,10/6/15,0:57,eddy,Centre Forster Freddy,south,3,-32.64222222,153.1461111,20.8,20.69809552,35.55862726,29.457,5.208442326,EZ11_4,M4,50-5,500,1:27,1:35,0,718.7,718.7
11,9/6/15,14:51,10/6/15,0:57,eddy,Centre Forster Freddy,south,3,-32.64222222,153.1461111,20.8,20.67810667,35.56141227,29.457,5.25049408,EZ11_5,M5,50-5,500,1:39,1:47,0,720,720
12,9/6/15,16:23,10/6/15,2:23,eddy,Centre Forster Freddy,south,4,-32.66722222,153.3844444,20.7,19.21972341,35.51270328,18.554,4.70194027,EZ12_2,M2,100-50,500,2:32,2:41,0,719.2,719.2
12,9/6/15,16:23,10/6/15,2:23,eddy,Centre Forster Freddy,south,4,-32.66722222,153.3844444,20.7,19.26887647,35.50704751,18.554,4.62863009,EZ12_3,M3,100-50,500,2:45,2:53,0,629.8,629.8
12,9/6/15,16:23,10/6/15,2:23,eddy,Centre Forster Freddy,south,4,-32.66722222,153.3844444,20.7,20.52634824,35.5517884,29.457,5.231323094,EZ12_4,M4,50-5,500,2:53,3:00,0,598.6,598.6
12,9/6/15,16:23,10/6/15,2:23,eddy,Centre Forster Freddy,south,4,-32.66722222,153.3844444,20.7,20.63321979,35.55434396,29.457,5.249243143,EZ12_5,M5,50-7,500,3:05,3:13,0,695.2,695.2
13,10/6/15,10:05,10/6/15,20:05,coastal,Coastal Source near drifter,south,1,-32.73111111,152.7919444,21.837,20.56085741,35.60354259,22.039,4.7219,EZ13_2,M2,100-50,500,20:13,20:22,0,785.2,785.2
13,10/6/15,10:05,10/6/15,20:05,coastal,Coastal Source near drifter,south,1,-32.73111111,152.7919444,21.837,21.27263601,35.63318596,22.039,4.969393801,EZ13_3,M3,100-50,500,20:25,20:34,0,770.9,770.9
13,10/6/15,10:05,10/6/15,20:05,coastal,Coastal Source near drifter,south,1,-32.73111111,152.7919444,21.837,21.88244852,35.66065947,27.087,5.162733014,EZ13_4,M4,50-0,500,20:35,20:45,0,890,890
13,10/6/15,10:05,10/6/15,20:05,coastal,Coastal Source near drifter,south,1,-32.73111111,152.7919444,21.837,21.9103899,35.65794435,27.087,5.160339041,EZ13_5,M5,50-0,500,20:49,20:59,0,1010,1010
14,10/6/15,12:33,10/6/15,22:33,coastal,Coastal Source near drifter,south,2,-32.64111111,152.9319444,21.769,20.13164492,35.5929434,22.039,4.631036837,EZ14_2,M2,90-50,500,22:43,22:52,0,767.2,767.2
14,10/6/15,12:33,10/6/15,22:33,coastal,Coastal Source near drifter,south,2,-32.64111111,152.9319444,21.769,21.43139823,35.63884126,22.039,5.023585818,EZ14_3,M3,90-50,500,22:56,23:06,0,952.9,952.9
14,10/6/15,12:33,10/6/15,22:33,coastal,Coastal Source near drifter,south,2,-32.64111111,152.9319444,21.769,21.8152272,35.65083193,27.087,5.164695946,EZ14_4,M4,50-5,500,23:07,23:17,0,812.6,812.6
14,10/6/15,12:33,10/6/15,22:33,coastal,Coastal Source near drifter,south,2,-32.64111111,152.9319444,21.769,21.85011087,35.65105636,27.087,5.163140902,EZ14_5,M5,50-5,500,23:21,23:31,0,975,975
15,10/6/15,17:05,11/6/15,3:05,coastal,"Coastal Water, Sth Crowdy Head",south,3,-32.12583333,153.0169444,22,19.92773752,35.57646562,21.127,4.544548854,EZ15_2,M2,95-48,500,3:13,3:20,0,489.5,489.5
15,10/6/15,17:05,11/6/15,3:05,coastal,"Coastal Water, Sth Crowdy Head",south,3,-32.12583333,153.0169444,22,20.45581534,35.6027814,21.127,4.709282609,EZ15_3,M3,98-50,500,3:20,3:27,0,500.9,500.9
15,10/6/15,17:05,11/6/15,3:05,coastal,"Coastal Water, Sth Crowdy Head",south,3,-32.12583333,153.0169444,22,22.05841874,35.68051224,24.806,5.129493409,EZ15_4,M4,50-6,500,3:31,3:40,0,685.7,685.7
15,10/6/15,17:05,11/6/15,3:05,coastal,"Coastal Water, Sth Crowdy Head",south,3,-32.12583333,153.0169444,22,22.07293146,35.6809428,24.806,5.132063116,EZ15_5,M5,50-8,500,3:45,3:54,0,715,715
16,10/6/15,19:00,11/6/15,5:00,coastal,"Coastal Water, Sth Crowdy Head",south,4,-32.00027778,153,21.9,20.00244801,35.56109707,21.127,4.566926862,EZ16_2,M2,100-50,500,5:07,5:15,0,461.8,461.8
16,10/6/15,19:00,11/6/15,5:00,coastal,"Coastal Water, Sth Crowdy Head",south,4,-32.00027778,153,21.9,20.38329007,35.57298621,21.127,4.661933793,EZ16_3,M3,100-50,500,5:19,5:26,0,463.7,463.7
16,10/6/15,19:00,11/6/15,5:00,coastal,"Coastal Water, Sth Crowdy Head",south,4,-32.00027778,153,21.9,22.01181555,35.67582154,24.806,5.1228335,EZ16_4,M4,50-5,500,5:26,5:35,0,658.5,658.5
16,10/6/15,19:00,11/6/15,5:00,coastal,"Coastal Water, Sth Crowdy Head",south,4,-32.00027778,153,21.9,22.02756508,35.67747166,24.806,5.126727733,EZ16_5,M5,50-5,500,5:40,5:47,0,678.8,678.8
1,3/6/15,11:05,3/6/15,21:05,coastal,"EAC, Brisbane",north,1,-29.04194444,155.8883333,23.3,23.64575258,35.61583505,22.888,5.063649954,N01_1,N1,0-3,500,21:23,21:31,733074,755708,608.2
1,3/6/15,11:05,3/6/15,21:05,coastal,"EAC, Brisbane",north,1,-29.04194444,155.8883333,23.3,23.64424742,35.61761856,22.888,5.063649954,N01_2,N2,0-3,500,21:35,21:45,755708,777677,590.4
2,3/6/15,13:00,3/6/15,23:00,coastal,"EAC, Brisbane",north,2,-29.13583333,155.8844444,23.28,23.45028866,35.62790722,22.888,5.034,N02_1,N1,0-3,500,23:21,23:31,777692,798758,566.1
2,3/6/15,13:00,3/6/15,23:00,coastal,"EAC, Brisbane",north,2,-29.13583333,155.8844444,23.28,23.47416495,35.62638144,22.888,5.034,N02_2,N2,0-3,500,23:34,23:44,798758,817066,492
3,3/6/15,16:45,4/6/15,2:45,coastal,Coastal/Billow,north,3,-27.60944444,153.7458333,23.23,23.21935052,35.62339175,20.772882,5.08775,N03_1,N1,0-3,500,2:53,3:05,817069,834875,478.5
3,3/6/15,16:45,4/6/15,2:45,coastal,Coastal/Billow,north,3,-27.60944444,153.7458333,23.23,23.18678351,35.62628866,20.772882,5.09248,N03_2,N2,0-3,500,3:04,3:20,834875,850848,429.2
4,3/6/15,18:28,4/6/15,4:28,coastal,Coastal/Billow,north,4,-27.80055556,153.7847222,22.7,22.72384536,35.64787629,20.772882,5.0674,N04_1,N1,0-3,500,4:40,4:50,850861,866710,425.9
4,3/6/15,18:28,4/6/15,4:28,coastal,Coastal/Billow,north,4,-27.80055556,153.7847222,22.7,22.79289691,35.64543299,20.772882,5.0732,N04_2,N2,0-3,500,4:55,5:05,866710,883175,442.5
5,4/6/15,9:05,4/6/15,19:05,eddy,Big Eddy,north,1,-28.65277778,154.3425,22.5,22.46703093,35.64661856,26.53002,5.1636,N05_1,N1,0-3,500,19:18,19:28,883188,899556,439.9
5,4/6/15,9:05,4/6/15,19:05,eddy,Big Eddy,north,1,-28.65277778,154.3425,22.5,22.53246392,34.90629897,26.53002,5.163,N05_2,N2,0-3,500,19:33,19:43,899556,914637,405.3
6,4/6/15,10:52,4/6/15,20:52,eddy,Big Eddy,north,2,-28.77972222,154.3505556,22.5,22.31919588,34.71082474,26.53002,5.198333,N06_1,N1,0-3,500,20:58,21:08,929080,945938,453
6,4/6/15,10:52,4/6/15,20:52,eddy,Big Eddy,north,2,-28.77972222,154.3505556,22.5,22.30973196,33.56007216,26.53002,5.137,N06_2,N2,0-3,500,21:13,21:23,945938,960148,381.9
7,4/6/15,14:20,5/6/15,0:20,eddy,Big Eddy,north,3,-28.84166667,154.4888889,22.52,22.51073196,34.38860825,25.698261,5.221,N07_1,N1,0-3,500,0:26,0:36,975864,994631,504.3
7,4/6/15,14:20,5/6/15,0:20,eddy,Big Eddy,north,3,-28.84166667,154.4888889,22.52,22.46325773,34.33861856,25.698261,5.149,N07_2,N2,0-3,500,0:40,0:48,994631,1014390,531
8,4/6/15,16:00,5/6/15,2:00,eddy,Big Eddy,north,4,-28.96777778,154.5213889,22.4,22.44227835,34.29735052,25.698261,5.224,N08_1,N1,0-3,500,2:06,2:16,NA,NA,NA
8,4/6/15,16:00,5/6/15,2:00,eddy,Big Eddy,north,4,-28.96777778,154.5213889,22.4,22.45864948,34.14129897,25.698261,5.156,N08_2,N2,0-3,500,2:21,2:31,NA,NA,NA
9,9/6/15,9:38,9/6/15,19:37,eddy,Southern Forster Freddy,south,1,-32.80638889,153.2508333,21.1,20.92790722,35.48001031,30.798424,5.365,N09_1,N1,0-3,500,19:54,20:04,999565,1028213,769.9
9,9/6/15,9:38,9/6/15,19:37,eddy,Southern Forster Freddy,south,1,-32.80638889,153.2508333,21.1,20.81825773,35.48628866,30.798424,5.2409,N09_2,N2,0-3,500,20:08,20:18,28213,49506,572.2
10,9/6/15,12:38,9/6/15,22:38,eddy,Southern Forster Freddy,south,2,-32.90555556,153.4238889,20.7,20.68186598,35.4858866,30.798424,5.13,N10_1,N1,0-3,500,22:44,22:54,71580,98413,721.1
10,9/6/15,12:38,9/6/15,22:38,eddy,Southern Forster Freddy,south,2,-32.90555556,153.4238889,20.7,20.75257732,35.49363918,30.798424,5.3117,N10_2,N2,0-3,500,22:58,23:08,98413,123354,670.2
11,9/6/15,14:51,10/6/15,0:57,eddy,Centre Forster Freddy,south,3,-32.64222222,153.1461111,20.8,20.79286598,35.49608247,29.154144,5.312,N11_1,N1,0-3,500,0:58,1:08,146380,166134,530.8
11,9/6/15,14:51,10/6/15,0:57,eddy,Centre Forster Freddy,south,3,-32.64222222,153.1461111,20.8,20.8975567,35.50625773,29.154144,5.241,N11_2,N2,0-3,500,1:13,1:23,166134,188716,606.8
12,9/6/15,16:23,10/6/15,2:23,eddy,Centre Forster Freddy,south,4,-32.66722222,153.3844444,20.7,20.63740206,35.49682474,29.154144,5.24,N12_1,N1,0-3,500,2:31,2:40,210155,228293,487.4
12,9/6/15,16:23,10/6/15,2:23,eddy,Centre Forster Freddy,south,4,-32.66722222,153.3844444,20.7,20.56284615,35.49963736,29.154144,5.271,N12_2,N2,0-3,500,2:42,2:51,228293,248515,543.4
13,10/6/15,10:05,10/6/15,20:05,coastal,Coastal Source near drifter,south,1,-32.73111111,152.7919444,21.837,21.85059794,35.67993814,26.774446,5.2118,N13_1,N1,0-3,500,20:12,20:22,227112,252088,671.2
13,10/6/15,10:05,10/6/15,20:05,coastal,Coastal Source near drifter,south,1,-32.73111111,152.7919444,21.837,21.86934021,35.68004124,26.774446,5.172,N13_2,N2,0-3,500,20:25,20:35,252088,277344,678.7
14,10/6/15,12:33,10/6/15,22:33,coastal,Coastal Source near drifter,south,2,-32.64111111,152.9319444,21.769,21.72853608,35.67646392,26.774446,4.97,N14_1,N1,0-3,500,22:38,2:48,277330,302084,665.2
14,10/6/15,12:33,10/6/15,22:33,coastal,Coastal Source near drifter,south,2,-32.64111111,152.9319444,21.769,21.75718557,35.66409278,26.774446,5.167,N14_2,N2,0-3,500,22:53,22:58,302084,311998,266.4
15,10/6/15,17:05,11/6/15,3:05,coastal,"Coastal Water, Sth Crowdy Head",south,3,-32.12583333,153.0169444,22,22.04269072,35.69434021,25.02556,5.21222,N15_1,N1,0-3,500,3:15,3:25,312161,334930,344.2
15,10/6/15,17:05,11/6/15,3:05,coastal,"Coastal Water, Sth Crowdy Head",south,3,-32.12583333,153.0169444,22,22.05285567,35.69620619,25.02556,5.14,N15_2,N2,0-3,500,3:28,3:35,334930,367567,493.3
16,NA,NA,NA,NA,coastal,"Coastal Water, Sth Crowdy Head",south,4,-32.00027778,153,NA,NA,NA,NA,NA,N16_1,N1,0-3,500,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,coastal,"Coastal Water, Sth Crowdy Head",south,4,-32.00027778,153,NA,NA,NA,NA,NA,N16_2,N2,0-3,500,NA,NA,NA,NA,NA
