"Developmental Stage (PRE=Preflexion,FLE=Flexion,POS=Postflexion)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Scaridae,,,Scorpaenidae,,,Synodontidae,,,Labridae,,,Serranidae,,,Mullidae,,,Pomacentridae,,,Triglidae,,,Bothidae,,
2,0,1,coast,north,566.107,Ethanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003532901,0,0,0,0,0,0,0,0,0
2,0,1,coast,north,566.107,Formalin,0,0,0,0,0,0,0.003532901,0,0,0.001766451,0,0,0,0,0,0,0,0,0,0,0,0.001766451,0,0,0,0,0
2,0,2,coast,north,491.99,Ethanol,0,0,0,0,0,0,0,0,0,0,0.002032562,0.002032562,0,0,0,0,0,0,0,0,0,0,0.002032562,0,0,0,0
2,0,2,coast,north,491.99,Formalin,0,0,0,0,0,0,0.002032562,0,0,0,0,0,0,0,0,0,0,0,0.002032562,0,0,0,0,0,0,0,0
2,25,4,coast,north,713.9,Formalin,0,0,0.004202269,0,0.001400756,0,0,0.001400756,0.001400756,0.002801513,0.001400756,0.007003782,0.012606808,0,0,0.004202269,0.001400756,0.001400756,0.004202269,0.002801513,0.002801513,0.002801513,0,0,0.002801513,0,0
2,25,5,coast,north,644,Ethanol,0,0,0,0,0,0,0,0,0.001552795,0,0.00621118,0.007763975,0,0.00310559,0,0,0.00310559,0.00310559,0,0.001552795,0,0.001552795,0.001552795,0,0,0,0
2,25,5,coast,north,644,Formalin,0,0,0,0.001552795,0.001552795,0,0,0,0,0.020186335,0.00621118,0,0.01242236,0,0,0,0.00310559,0,0.00310559,0,0,0,0,0,0,0,0
2,75,2,coast,north,821.1,Formalin,0,0,0,0,0,0,0,0.001217878,0,0,0,0.003653635,0,0,0,0,0,0,0,0,0.001217878,0,0,0,0,0,0
2,75,3,coast,north,842.7,Ethanol,0,0,0,0,0,0,0,0,0,0,0.001186662,0.003559986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,75,3,coast,north,842.7,Formalin,0,0,0,0,0,0,0.001186662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,coast,north,478.501,Ethanol,0,0.006269579,0.006269579,0,0,0,0.00208986,0.00208986,0,0,0.00208986,0,0,0,0,0.00208986,0.006269579,0,0,0,0,0,0,0,0.006269579,0.00208986,0
3,0,1,coast,north,478.501,Formalin,0,0,0,0,0.00208986,0.00208986,0.00417972,0,0,0.00208986,0.008359439,0,0,0,0,0,0.00208986,0,0,0.00208986,0,0.00208986,0,0,0.008359439,0,0
3,0,2,coast,north,429.24,Ethanol,0,0.002329699,0.004659398,0,0,0,0,0,0,0,0.006989097,0.002329699,0,0,0,0,0.009318796,0,0,0,0,0,0,0,0,0,0
3,0,2,coast,north,429.24,Formalin,0,0.002329699,0,0.002329699,0.002329699,0,0.002329699,0,0,0.004659398,0.004659398,0,0,0.002329699,0,0,0.002329699,0,0,0.002329699,0,0,0,0,0.002329699,0,0
3,25,4,coast,north,813.6,Formalin,0,0.00245821,0.00245821,0.00245821,0.003687316,0,0.006145526,0,0.00245821,0.025811209,0.061455261,0.001229105,0.025811209,0.011061947,0,0,0.009832842,0.001229105,0.001229105,0.001229105,0,0.004916421,0.001229105,0,0,0,0
3,25,5,coast,north,679.9,Ethanol,0,0,0.001470805,0,0,0,0,0,0,0.005883218,0.007354023,0.005883218,0.005883218,0.011766436,0.001470805,0,0,0.001470805,0.004412414,0.013237241,0.002941609,0,0,0,0.011766436,0.002941609,0.001470805
3,25,5,coast,north,679.9,Formalin,0,0,0,0.007354023,0.001470805,0,0.005883218,0,0,0.044124136,0.022062068,0.001470805,0.023532872,0,0,0,0.001470805,0,0,0.008824827,0,0,0.001470805,0,0.044124136,0.008824827,0
3,75,2,coast,north,946.8,Formalin,0,0,0,0,0,0,0.002112379,0,0,0,0.002112379,0.003168568,0.005280946,0.008449514,0,0,0,0,0,0,0,0,0,0,0,0,0
3,75,3,coast,north,856.3,Ethanol,0,0,0,0,0,0,0,0,0,0,0,0,0.00233563,0.00467126,0,0,0,0.001167815,0,0.00233563,0,0.00233563,0,0,0.003503445,0,0.001167815
3,75,3,coast,north,856.3,Formalin,0,0,0,0.001167815,0,0,0,0,0,0.003503445,0.012845965,0.001167815,0.010510335,0.003503445,0,0,0,0,0,0.001167815,0,0,0,0,0.00700689,0,0
4,0,1,coast,north,425.91,Ethanol,0,0,0,0,0,0,0,0,0,0,0.007043742,0.002347914,0.009391656,0.007043742,0,0.002347914,0.007043742,0.004695828,0,0,0,0,0,0,0.002347914,0,0
4,0,1,coast,north,425.91,Formalin,0,0,0,0.002347914,0,0,0.002347914,0,0,0.004695828,0.002347914,0,0.044610364,0.014087483,0,0.002347914,0.002347914,0,0.007043742,0.007043742,0,0,0,0,0,0,0
4,0,2,coast,north,442.464,Ethanol,0,0,0,0.004520142,0,0,0.002260071,0.002260071,0,0,0,0,0.002260071,0.002260071,0,0.002260071,0.013560425,0,0.009040284,0.011300354,0,0.002260071,0.002260071,0,0.004520142,0,0
4,0,2,coast,north,442.464,Formalin,0,0,0,0.004520142,0,0,0.009040284,0,0,0.015820496,0.018080567,0,0.061021914,0.015820496,0,0.004520142,0.029380921,0,0.015820496,0.020340638,0,0.002260071,0.006780213,0,0.009040284,0.009040284,0
4,25,4,coast,north,759,Formalin,0,0.001317523,0,0.001317523,0,0,0,0,0,0.002635046,0.015810277,0.001317523,0.009222661,0.001317523,0,0,0.002635046,0,0,0.005270092,0,0,0,0,0,0,0
4,25,5,coast,north,817,Ethanol,0,0.00244798,0,0,0,0,0.00122399,0,0,0.003671971,0.006119951,0.00244798,0.00122399,0.006119951,0,0,0,0.00122399,0.00244798,0.007343941,0,0,0,0,0.003671971,0.00244798,0
4,25,5,coast,north,817,Formalin,0,0,0,0,0,0,0.007343941,0.00244798,0,0.020807834,0.007343941,0,0.029375765,0.004895961,0,0,0.00122399,0,0.00244798,0.00244798,0,0.006119951,0,0,0,0,0
4,75,2,coast,north,1005.9,Formalin,0,0,0.000994135,0,0.000994135,0,0,0.000994135,0,0,0,0.003976538,0.000994135,0.007953077,0.003976538,0,0,0,0,0,0,0,0,0,0,0,0
4,75,3,coast,north,734.9,Ethanol,0,0,0,0,0.001360729,0,0,0.001360729,0.001360729,0,0.002721459,0.001360729,0,0,0,0,0,0,0,0.001360729,0,0,0.001360729,0,0,0,0
4,75,3,coast,north,734.9,Formalin,0,0.002721459,0.001360729,0,0,0.001360729,0,0,0,0,0.005442917,0,0,0,0,0,0.001360729,0,0,0,0,0,0,0,0,0,0
5,0,1,eddy,north,439.858,Ethanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002273461,0,0,0,0,0,0,0,0,0.004546922
5,0,1,eddy,north,439.858,Formalin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,2,eddy,north,405.272,Ethanol,0,0,0,0,0,0,0,0,0,0,0.002467479,0,0,0,0,0,0,0.002467479,0,0,0,0,0,0,0.012337393,0.002467479,0
5,0,2,eddy,north,405.272,Formalin,0,0.002467479,0,0.002467479,0.004934957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,25,4,eddy,north,730.8,Formalin,0,0.00410509,0.001368363,0,0.002736727,0.005473454,0.002736727,0.001368363,0.001368363,0,0.002736727,0.006841817,0,0.001368363,0,0,0,0,0,0,0,0,0,0,0,0,0
5,25,5,eddy,north,830.2,Ethanol,0,0.001204529,0,0,0.001204529,0.001204529,0.001204529,0.003613587,0.001204529,0,0.001204529,0.001204529,0,0,0.001204529,0,0,0,0,0,0.002409058,0,0,0,0.002409058,0.001204529,0.001204529
5,25,5,eddy,north,830.2,Formalin,0,0.002409058,0.003613587,0,0.001204529,0.004818116,0.001204529,0.002409058,0.003613587,0,0.002409058,0.004818116,0,0,0,0,0,0,0,0,0,0,0,0,0.010840761,0.002409058,0
5,75,2,eddy,north,653.1,Formalin,0.001531159,0.004593477,0,0,0,0.003062318,0,0,0,0,0.004593477,0.010718114,0,0.004593477,0,0,0,0,0,0,0,0,0,0,0,0,0
5,75,3,eddy,north,693.5,Ethanol,0,0,0,0,0,0.001441961,0,0.001441961,0,0,0.001441961,0.007209805,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004325883,0.002883922
5,75,3,eddy,north,693.5,Formalin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,1,eddy,north,453.025,Ethanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002207384
6,0,1,eddy,north,453.025,Formalin,0,0.004414767,0,0,0,0,0,0,0,0,0,0,0,0.011036918,0,0,0,0,0,0,0,0,0,0,0.004414767,0,0
6,0,2,eddy,north,381.866,Ethanol,0,0,0,0,0,0,0.00261872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,2,eddy,north,381.866,Formalin,0.00261872,0.010474879,0.00261872,0,0,0.00261872,0,0.00261872,0,0.00261872,0.010474879,0.005237439,0,0,0,0,0,0,0,0,0,0,0,0,0.010474879,0.00261872,0
6,25,4,eddy,north,730.8,Formalin,0,0.005473454,0.006841817,0.001368363,0,0.002736727,0,0.001368363,0,0,0.012315271,0.016420361,0,0,0,0,0,0,0,0,0,0,0,0,0.008210181,0,0.00410509
6,25,5,eddy,north,830.2,Ethanol,0,0,0,0,0.001204529,0.001204529,0,0.006022645,0.002409058,0,0,0.014454348,0,0,0,0,0,0,0,0,0,0,0,0,0.003613587,0.002409058,0.001204529
6,25,5,eddy,north,830.2,Formalin,0,0.01204529,0.007227174,0,0.003613587,0.001204529,0.001204529,0.002409058,0,0,0.014454348,0.007227174,0,0,0,0,0,0,0.001204529,0,0,0,0,0,0.007227174,0.001204529,0
6,75,2,eddy,north,751.5,Formalin,0,0,0.002661344,0,0.001330672,0,0,0.003992016,0,0,0.005322688,0.007984032,0,0.001330672,0,0,0,0.001330672,0,0,0,0,0,0,0,0,0
6,75,3,eddy,north,751.9,Ethanol,0,0.001329964,0.002659928,0,0.001329964,0.001329964,0,0.001329964,0,0,0,0.00664982,0,0,0,0,0,0,0,0,0.001329964,0,0,0,0,0.001329964,0
6,75,3,eddy,north,751.9,Formalin,0.001329964,0.003989892,0,0,0,0,0,0,0,0,0.00664982,0.002659928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,1,eddy,north,504.326,Ethanol,0,0,0,0,0,0.001982844,0,0,0,0,0.001982844,0,0,0,0,0,0,0.003965689,0,0,0,0,0,0,0.001982844,0,0
7,0,1,eddy,north,504.326,Formalin,0.003965689,0.011897067,0.003965689,0,0,0,0,0,0,0.003965689,0.005948533,0.005948533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,2,eddy,north,530.984,Ethanol,0,0,0,0,0,0,0.001883296,0.001883296,0.001883296,0,0,0,0,0,0,0,0,0.00941648,0,0,0,0,0,0,0,0.001883296,0
7,0,2,eddy,north,530.984,Formalin,0,0.016949663,0.001883296,0.001883296,0,0,0,0,0,0.005649888,0.005649888,0.001883296,0,0,0,0,0,0,0,0,0,0,0,0,0.007533184,0,0
7,25,4,eddy,north,743,Formalin,0,0.001345895,0.001345895,0,0,0.001345895,0,0.004037685,0.001345895,0.00269179,0.012113055,0.01884253,0,0.001345895,0.00269179,0,0,0.001345895,0,0,0,0,0,0,0,0,0
7,25,5,eddy,north,773.2,Ethanol,0,0.001293326,0.003879979,0,0,0,0,0,0,0,0.006466632,0.012933264,0,0,0,0,0,0.002586653,0,0,0,0,0,0,0.001293326,0.006466632,0.001293326
7,25,5,eddy,north,773.2,Formalin,0.003879979,0.016813244,0,0.001293326,0.002586653,0.001293326,0,0.002586653,0.001293326,0.002586653,0.012933264,0.006466632,0,0,0,0,0,0,0,0,0,0,0,0,0.007759959,0.001293326,0
7,75,2,eddy,north,727,Formalin,0,0,0,0.002751032,0,0.004126547,0,0.002751032,0,0.001375516,0.004126547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,75,3,eddy,north,852.4,Ethanol,0,0.003519474,0.001173158,0,0,0.003519474,0,0,0,0,0.002346316,0.004692633,0,0,0,0,0,0,0,0,0,0,0,0,0.001173158,0.001173158,0
7,75,3,eddy,north,852.4,Formalin,0,0.001173158,0.005865791,0,0.001173158,0.002346316,0,0,0,0.002346316,0.002346316,0.010558423,0,0,0,0,0,0,0,0,0,0,0,0,0.004692633,0.001173158,0
8,25,4,eddy,north,690,Formalin,0,0.005797101,0.004347826,0.004347826,0.010144928,0.008695652,0.001449275,0.005797101,0.001449275,0.002898551,0.020289855,0.04057971,0,0,0.002898551,0,0,0.005797101,0,0,0,0,0,0,0,0,0
8,25,5,eddy,north,734,Ethanol,0,0,0,0,0.001362398,0.005449591,0.001362398,0.001362398,0.002724796,0,0.013623978,0.042234332,0,0,0,0,0,0.001362398,0,0,0,0,0,0,0,0,0
8,25,5,eddy,north,734,Formalin,0.001362398,0.01226158,0.005449591,0,0.004087193,0,0,0.001362398,0,0.006811989,0.027247956,0.006811989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,75,2,eddy,north,704.3,Formalin,0,0.004259548,0.005679398,0,0.004259548,0.007099247,0.001419849,0,0,0,0.011358796,0.024137441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,75,3,eddy,north,706.5,Ethanol,0,0.001415428,0.002830856,0,0,0.008492569,0.001415428,0.001415428,0,0,0.012738854,0.038216561,0,0,0,0,0,0.002830856,0.001415428,0,0,0,0,0,0.001415428,0.004246285,0.004246285
8,75,3,eddy,north,706.5,Formalin,0,0.001415428,0,0,0,0,0.001415428,0,0,0.001415428,0.007077141,0.002830856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,1,eddy,south,769.858,Ethanol,0,0,0,0,0,0,0,0,0,0.001298941,0.016886231,0.068843865,0,0,0,0,0,0.002597882,0,0,0,0,0,0,0.001298941,0,0
9,0,1,eddy,south,769.858,Formalin,0,0,0,0,0,0,0,0,0,0,0.001298941,0.005195763,0,0,0,0.006494704,0,0,0.002597882,0.001298941,0,0,0,0,0,0,0
9,0,2,eddy,south,572.207,Ethanol,0,0,0,0,0,0,0,0,0,0,0.036700005,0.054176198,0,0,0,0,0,0.003495239,0,0,0,0,0,0,0,0,0.001747619
9,0,2,eddy,south,572.207,Formalin,0,0,0,0,0,0,0,0,0,0.001747619,0.003495239,0.068157153,0.001747619,0,0,0.005242858,0.001747619,0,0,0,0,0,0,0,0,0,0
9,25,4,eddy,south,852,Formalin,0,0,0,0.001173709,0.005868545,0,0,0,0.002347418,0.008215962,0.030516432,0.015258216,0.014084507,0.015258216,0,0.003521127,0.012910798,0,0.007042254,0.022300469,0,0.011737089,0.011737089,0.001173709,0.005868545,0.003521127,0.002347418
9,25,5,eddy,south,760,Ethanol,0,0,0,0,0,0,0,0,0,0,0.001315789,0,0,0,0,0.005263158,0.002631579,0,0,0,0,0,0,0,0,0,0.001315789
9,25,5,eddy,south,760,Formalin,0,0,0,0,0,0,0,0,0,0.013157895,0.009210526,0,0.005263158,0,0,0.010526316,0,0,0.007894737,0.002631579,0,0.005263158,0.001315789,0,0,0,0
9,75,2,eddy,south,783.5,Formalin,0,0,0,0,0,0,0,0,0,0.001276324,0.001276324,0.001276324,0.002552648,0.001276324,0,0,0,0,0,0,0,0,0.001276324,0,0,0,0
9,75,3,eddy,south,782.5,Ethanol,0,0,0,0,0,0,0,0,0,0,0,0.001277955,0,0,0,0,0,0,0,0,0,0,0.001277955,0,0,0,0.001277955
9,75,3,eddy,south,782.5,Formalin,0,0,0,0,0,0,0,0,0,0,0,0,0.008945687,0.002555911,0,0,0.001277955,0,0,0.001277955,0,0.001277955,0.001277955,0,0,0,0
10,0,1,eddy,south,721.084,Ethanol,0,0,0,0,0,0,0,0,0,0,0.012481209,0.005547204,0,0,0,0,0,0.001386801,0,0,0,0,0,0,0,0,0
10,0,1,eddy,south,721.084,Formalin,0,0,0,0.001386801,0,0,0,0,0,0.002773602,0,0.001386801,0.004160403,0,0,0.002773602,0,0,0.002773602,0,0,0.001386801,0,0,0,0,0
10,0,2,eddy,south,670.24,Ethanol,0,0,0,0,0,0,0.002984006,0,0,0.002984006,0.007460014,0.002984006,0.002984006,0,0,0,0,0.001492003,0,0,0,0.001492003,0,0,0.001492003,0,0
10,0,2,eddy,south,670.24,Formalin,0,0,0,0,0,0,0.002984006,0,0,0.007460014,0,0,0.007460014,0,0,0.008952017,0,0,0.001492003,0,0,0,0,0,0,0,0
10,25,4,eddy,south,759,Formalin,0,0,0.002635046,0,0,0,0,0,0,0.002635046,0.006587615,0.002635046,0.019762846,0.003952569,0,0.001317523,0.002635046,0,0,0.006587615,0,0.005270092,0.005270092,0,0,0,0
10,25,5,eddy,south,787,Ethanol,0,0,0,0,0.001270648,0,0.001270648,0,0,0,0.005082592,0.002541296,0.007623888,0.007623888,0,0.002541296,0.003811944,0,0.002541296,0.002541296,0.001270648,0.003811944,0.005082592,0,0,0.001270648,0.001270648
10,25,5,eddy,south,787,Formalin,0,0,0,0,0,0,0,0,0,0.008894536,0,0,0.013977128,0.001270648,0,0.002541296,0,0,0,0.003811944,0,0.001270648,0.001270648,0,0.001270648,0,0
10,75,2,eddy,south,733.2,Formalin,0,0,0,0,0,0,0,0,0,0,0.001363884,0.001363884,0.001363884,0.008183306,0,0,0,0,0,0,0,0,0.00954719,0.001363884,0,0,0
10,75,3,eddy,south,779.2,Ethanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003850103,0,0,0,0,0,0,0,0.001283368,0.00513347,0,0.001283368,0,0.002566735
10,75,3,eddy,south,779.2,Formalin,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001283368,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,1,eddy,south,530.85,Ethanol,0,0,0,0,0,0,0,0,0,0,0.001883771,0,0.001883771,0.001883771,0,0,0,0,0,0,0,0.007535085,0,0,0.001883771,0,0
11,0,1,eddy,south,530.85,Formalin,0,0,0,0,0,0,0,0,0,0.003767543,0.003767543,0,0.007535085,0.001883771,0,0.001883771,0,0,0.001883771,0,0,0.003767543,0.003767543,0,0,0,0
11,0,2,eddy,south,606.846,Ethanol,0,0,0,0,0,0,0,0,0.001647865,0,0.003295729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,2,eddy,south,606.846,Formalin,0,0,0,0,0,0,0,0,0,0.003295729,0.001647865,0,0.014830781,0,0,0.008239323,0,0,0.004943594,0,0,0.003295729,0,0,0,0,0
11,25,4,eddy,south,718.7,Formalin,0,0,0.001391401,0,0,0.001391401,0,0,0,0.008348407,0.025045221,0.009739808,0.047307639,0.005565605,0,0.011131209,0.004174203,0,0,0.002782802,0,0.008348407,0.009739808,0,0.009739808,0.008348407,0.006957006
11,25,5,eddy,south,720,Ethanol,0,0,0,0,0,0,0,0,0,0.002777778,0.013888889,0.001388889,0.005555556,0.001388889,0,0.002777778,0,0,0.001388889,0.001388889,0,0.002777778,0.006944444,0,0.001388889,0,0.001388889
11,25,5,eddy,south,720,Formalin,0,0,0,0.004166667,0.001388889,0,0,0,0,0.018055556,0.009722222,0.001388889,0.044444444,0.001388889,0,0.020833333,0.001388889,0,0.004166667,0.002777778,0,0.025,0.006944444,0,0,0,0
11,75,2,eddy,south,726.5,Formalin,0,0,0,0,0,0,0,0,0,0,0.002752925,0.004129387,0.00550585,0.004129387,0,0,0.006882312,0,0,0.0110117,0,0,0.013764625,0,0,0,0
11,75,3,eddy,south,918.4,Ethanol,0,0,0,0,0,0.00108885,0,0,0,0,0,0.00108885,0,0.003266551,0,0,0.00108885,0.0021777,0,0,0,0,0,0,0,0,0.00108885
11,75,3,eddy,south,918.4,Formalin,0,0,0,0,0,0,0,0,0,0,0,0,0.003266551,0.0021777,0,0.00108885,0,0,0,0,0,0,0,0,0,0,0
12,0,1,eddy,south,487.423,Ethanol,0,0,0,0,0,0,0,0,0,0,0.012309637,0.004103212,0.002051606,0.002051606,0,0.002051606,0.002051606,0,0.002051606,0,0,0,0,0,0.004103212,0.002051606,0
12,0,1,eddy,south,487.423,Formalin,0,0,0,0,0,0,0,0,0,0.006154818,0.004103212,0,0.018464455,0,0,0.012309637,0,0,0,0,0,0.008206424,0.002051606,0,0,0,0
12,0,2,eddy,south,543.426,Ethanol,0,0,0,0,0,0,0,0,0.001840177,0.001840177,0.001840177,0.007360708,0,0,0,0.003680354,0,0,0,0,0,0.001840177,0,0,0,0.001840177,0
12,0,2,eddy,south,543.426,Formalin,0,0,0,0.001840177,0,0,0.001840177,0,0,0.001840177,0,0,0.009200885,0,0,0.007360708,0.005520531,0,0,0.001840177,0,0,0,0,0.001840177,0,0
12,25,4,eddy,south,598.6,Formalin,0,0,0,0.001670565,0,0,0,0,0,0.013364517,0.005011694,0.001670565,0.02171734,0.001670565,0,0,0,0,0.003341129,0,0,0,0.006682259,0,0,0,0
12,25,5,eddy,south,695.2,Ethanol,0,0.00287687,0,0,0,0,0.001438435,0.001438435,0,0,0.00575374,0.004315305,0.004315305,0,0,0,0.00575374,0,0,0,0,0.004315305,0.001438435,0,0,0,0.00287687
12,25,5,eddy,south,695.2,Formalin,0,0.001438435,0,0,0,0,0.004315305,0,0,0.007192175,0.00575374,0,0.053222094,0,0,0.004315305,0.00287687,0,0.00575374,0.007192175,0,0.00863061,0.00575374,0,0,0,0
12,75,2,eddy,south,719.2,Formalin,0,0,0,0,0,0,0,0,0,0,0.001390434,0.001390434,0.002780868,0.004171301,0,0,0.001390434,0.001390434,0,0,0,0.001390434,0.001390434,0,0,0,0
12,75,3,eddy,south,629.8,Ethanol,0,0,0,0,0,0,0,0,0,0.001587806,0,0.004763417,0.004763417,0.006351223,0,0,0.001587806,0,0.001587806,0,0,0,0.001587806,0.001587806,0,0.001587806,0.001587806
12,75,3,eddy,south,629.8,Formalin,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001587806,0,0,0,0,0,0.001587806,0,0,0,0,0,0,0
13,0,1,coast,south,671.181,Ethanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001489911,0,0.001489911
13,0,1,coast,south,671.181,Formalin,0,0,0,0,0,0,0,0,0,0,0,0,0.005959644,0,0,0,0,0,0,0,0,0.001489911,0,0,0,0,0
13,0,2,coast,south,678.705,Ethanol,0,0,0,0,0,0,0,0,0,0,0,0.001473394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001473394
13,0,2,coast,south,678.705,Formalin,0,0,0,0.001473394,0,0,0,0,0,0,0,0,0.004420183,0,0,0,0,0,0,0,0,0.002946788,0,0,0,0,0
13,25,4,coast,south,890,Formalin,0,0.001123596,0,0,0,0,0,0,0,0,0.001123596,0,0,0,0,0,0,0,0,0,0,0.002247191,0,0,0,0,0
13,25,5,coast,south,1010,Ethanol,0,0.000990099,0,0,0,0,0,0,0,0,0,0.000990099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,25,5,coast,south,1010,Formalin,0,0.001980198,0,0,0,0,0,0,0,0,0.000990099,0,0.004950495,0,0,0,0,0,0,0,0,0.002970297,0,0,0,0,0
13,75,2,coast,south,785.2,Formalin,0,0,0,0,0,0,0,0,0.001273561,0.001273561,0.003820683,0.003820683,0.002547122,0,0.001273561,0,0,0,0.001273561,0,0,0.001273561,0,0,0,0.001273561,0
13,75,3,coast,south,770.9,Ethanol,0,0,0.001297185,0,0,0,0,0,0.001297185,0,0,0.00518874,0,0,0.003891555,0.001297185,0.001297185,0,0,0,0,0,0,0,0.001297185,0,0
13,75,3,coast,south,770.9,Formalin,0,0,0,0,0,0,0,0,0,0,0.00259437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,1,coast,south,665.215,Ethanol,0,0,0,0,0,0,0,0,0,0,0.001503273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001503273
14,0,1,coast,south,665.215,Formalin,0,0,0,0,0,0,0,0,0,0,0,0,0.012026187,0,0,0,0,0,0.003006547,0,0,0.00450982,0.001503273,0,0,0,0
14,0,2,coast,south,266.419,Ethanol,0,0,0,0,0,0,0,0,0,0,0,0.007506972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003753486
14,0,2,coast,south,266.419,Formalin,0,0,0,0,0,0,0.003753486,0,0,0,0,0,0.048795319,0,0,0,0,0,0.003753486,0,0,0.015013944,0,0,0.003753486,0,0
