Site,Depth,Net,Type,Location,Fixed_In,Tow_Volume,PRE_Scaridae,FLE_Scaridae,POS_Scaridae,PRE_Scorpaenidae,FLE_Scorpaenidae,POS_Scorpaenidae,PRE_Synodontidae,FLE_Synodontidae,POS_Synodontidae,PRE_Labridae,FLE_Labridae,POS_Labridae,PRE_Serranidae,FLE_Serranidae,POS_Serranidae,PRE_Mullidae,FLE_Mullidae,POS_Mullidae,PRE_Pomacentridae,FLE_Pomacentridae,POS_Pomacentridae
3,0,1,coast,north,ethanol,478.501,0,3,3,0,0,0,1,1,0,0,1,0,0,0,0,1,3,0,0,0,0
3,0,1,coast,north,formalin,478.501,0,0,0,0,1,1,2,0,0,1,4,0,0,0,0,0,1,0,0,1,0
3,0,2,coast,north,ethanol,429.24,0,1,2,0,0,0,0,0,0,0,3,1,0,0,0,0,4,0,0,0,0
3,0,2,coast,north,formalin,429.24,0,1,0,1,1,0,1,0,0,2,2,0,0,1,0,0,1,0,0,1,0
3,25,4,coast,north,formalin,813.6,0,2,2,2,3,0,5,0,2,21,50,1,21,9,0,0,8,1,1,1,0
3,25,5,coast,north,ethanol,679.9,0,0,1,0,0,0,0,0,0,4,5,4,4,8,1,0,0,1,3,9,2
3,25,5,coast,north,formalin,679.9,0,0,0,5,1,0,4,0,0,30,15,1,16,0,0,0,1,0,0,6,0
3,75,2,coast,north,formalin,946.8,0,0,0,0,0,0,2,0,0,0,2,3,5,8,0,0,0,0,0,0,0
3,75,3,coast,north,ethanol,856.3,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,2,0
3,75,3,coast,north,formalin,856.3,0,0,0,1,0,0,0,0,0,3,11,1,9,3,0,0,0,0,0,1,0
4,0,1,coast,north,ethanol,425.91,0,0,0,0,0,0,0,0,0,0,3,1,4,3,0,1,3,2,0,0,0
4,0,1,coast,north,formalin,425.91,0,0,0,1,0,0,1,0,0,2,1,0,19,6,0,1,1,0,3,3,0
4,0,2,coast,north,ethanol,442.464,0,0,0,2,0,0,1,1,0,0,0,0,1,1,0,1,6,0,4,5,0
4,0,2,coast,north,formalin,442.464,0,0,0,2,0,0,4,0,0,7,8,0,27,7,0,2,13,0,7,9,0
4,25,4,coast,north,formalin,759,0,1,0,1,0,0,0,0,0,2,12,1,7,1,0,0,2,0,0,4,0
4,25,5,coast,north,ethanol,817,0,2,0,0,0,0,1,0,0,3,5,2,1,5,0,0,0,1,2,6,0
4,25,5,coast,north,formalin,817,0,0,0,0,0,0,6,2,0,17,6,0,24,4,0,0,1,0,2,2,0
4,75,2,coast,north,formalin,1005.9,0,0,1,0,1,0,0,1,0,0,0,4,1,8,4,0,0,0,0,0,0
4,75,3,coast,north,ethanol,734.9,0,0,0,0,1,0,0,1,1,0,2,1,0,0,0,0,0,0,0,1,0
4,75,3,coast,north,formalin,734.9,0,2,1,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0
5,0,1,eddy,north,ethanol,439.858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,0,1,eddy,north,formalin,439.858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,2,eddy,north,ethanol,405.272,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5,0,2,eddy,north,formalin,405.272,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,3,eddy,north,ethanol,388.18,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
5,0,3,eddy,north,formalin,388.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,25,4,eddy,north,formalin,730.8,0,3,1,0,2,4,2,1,1,0,2,5,0,1,0,0,0,0,0,0,0
5,25,5,eddy,north,ethanol,830.2,0,1,0,0,1,1,1,3,1,0,1,1,0,0,1,0,0,0,0,0,2
5,25,5,eddy,north,formalin,830.2,0,2,3,0,1,4,1,2,3,0,2,4,0,0,0,0,0,0,0,0,0
5,75,2,eddy,north,formalin,653.1,1,3,0,0,0,2,0,0,0,0,3,7,0,3,0,0,0,0,0,0,0
5,75,3,eddy,north,ethanol,693.5,0,0,0,0,0,1,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0
5,75,3,eddy,north,formalin,693.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,1,eddy,north,ethanol,453.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,1,eddy,north,formalin,453.025,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
6,0,2,eddy,north,ethanol,381.866,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,2,eddy,north,formalin,381.866,1,4,1,0,0,1,0,1,0,1,4,2,0,0,0,0,0,0,0,0,0
6,0,3,eddy,north,ethanol,422.04,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
6,0,3,eddy,north,formalin,422.04,0,1,2,0,1,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0
6,25,4,eddy,north,formalin,730.8,0,4,5,1,0,2,0,1,0,0,9,12,0,0,0,0,0,0,0,0,0
6,25,5,eddy,north,ethanol,830.2,0,0,0,0,1,1,0,5,2,0,0,12,0,0,0,0,0,0,0,0,0
6,25,5,eddy,north,formalin,830.2,0,10,6,0,3,1,1,2,0,0,12,6,0,0,0,0,0,0,1,0,0
6,75,2,eddy,north,formalin,751.5,0,0,2,0,1,0,0,3,0,0,4,6,0,1,0,0,0,1,0,0,0
6,75,3,eddy,north,ethanol,751.9,0,1,2,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1
6,75,3,eddy,north,formalin,751.9,1,3,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0
7,0,1,eddy,north,ethanol,504.326,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
7,0,1,eddy,north,formalin,504.326,2,6,2,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0
7,0,2,eddy,north,ethanol,530.984,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,5,0,0,0
7,0,2,eddy,north,formalin,530.984,0,9,1,1,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0
7,0,3,eddy,north,ethanol,619.504,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0
7,0,3,eddy,north,formalin,619.504,2,7,2,0,2,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
7,25,4,eddy,north,formalin,743,0,1,1,0,0,1,0,3,1,2,9,14,0,1,2,0,0,1,0,0,0
7,25,5,eddy,north,ethanol,773.2,0,1,3,0,0,0,0,0,0,0,5,10,0,0,0,0,0,2,0,0,0
7,25,5,eddy,north,formalin,773.2,3,13,0,1,2,1,0,2,1,2,10,5,0,0,0,0,0,0,0,0,0
7,75,2,eddy,north,formalin,727,0,0,0,2,0,3,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0
7,75,3,eddy,north,ethanol,852.4,0,3,1,0,0,3,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0
7,75,3,eddy,north,formalin,852.4,0,1,5,0,1,2,0,0,0,2,2,9,0,0,0,0,0,0,0,0,0
8,0,1,eddy,north,ethanol,0,0,0,1,0,3,1,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0
8,0,1,eddy,north,formalin,0,0,5,1,1,6,5,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0
8,0,2,eddy,north,ethanol,0,0,0,0,0,2,2,1,0,1,0,3,6,0,0,0,0,0,5,0,0,0
8,0,2,eddy,north,formalin,0,2,10,6,1,2,2,1,0,0,0,12,13,0,0,0,0,0,0,0,0,0
8,0,3,eddy,north,ethanol,0,0,4,2,5,4,0,1,1,0,2,10,2,0,0,0,0,0,0,0,0,0
8,0,3,eddy,north,formalin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,25,4,eddy,north,formalin,690,0,4,3,3,7,6,1,4,1,2,14,28,0,0,2,0,0,4,0,0,0
8,25,5,eddy,north,ethanol,734,0,0,0,0,1,4,1,1,2,0,10,31,0,0,0,0,0,1,0,0,0
8,25,5,eddy,north,formalin,734,1,9,4,0,3,0,0,1,0,5,20,5,0,0,0,0,0,0,0,0,0
8,75,2,eddy,north,formalin,704.3,0,3,4,0,3,5,1,0,0,0,8,17,0,0,0,0,0,0,0,0,0
8,75,3,eddy,north,ethanol,706.5,0,1,2,0,0,6,1,1,0,0,9,27,0,0,0,0,0,2,1,0,0
8,75,3,eddy,north,formalin,706.5,0,1,0,0,0,0,1,0,0,1,5,2,0,0,0,0,0,0,0,0,0
9,0,1,eddy,south,ethanol,769.858,0,0,0,0,0,0,0,0,0,1,13,53,0,0,0,0,0,2,0,0,0
9,0,1,eddy,south,formalin,769.858,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,5,0,0,2,1,0
9,0,2,eddy,south,ethanol,572.207,0,0,0,0,0,0,0,0,0,0,21,31,0,0,0,0,0,2,0,0,0
9,0,2,eddy,south,formalin,572.207,0,0,0,0,0,0,0,0,0,1,2,39,1,0,0,3,1,0,0,0,0
9,0,3,eddy,south,ethanol,593.222,0,0,0,0,0,0,0,0,0,0,6,9,0,2,0,0,0,0,0,0,0
9,0,3,eddy,south,formalin,593.222,0,0,0,0,0,0,0,0,0,3,1,6,0,0,0,3,0,0,3,0,0
9,25,4,eddy,south,formalin,852,0,0,0,1,5,0,0,0,2,7,26,13,12,13,0,3,11,0,6,19,0
9,25,5,eddy,south,ethanol,760,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0
9,25,5,eddy,south,formalin,760,0,0,0,0,0,0,0,0,0,10,7,0,4,0,0,8,0,0,6,2,0
9,75,2,eddy,south,formalin,783.5,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0
9,75,3,eddy,south,ethanol,782.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,75,3,eddy,south,formalin,782.5,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,1,0,0,1,0
10,0,1,eddy,south,ethanol,721.084,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,1,0,0,0
10,0,1,eddy,south,formalin,721.084,0,0,0,1,0,0,0,0,0,2,0,1,3,0,0,2,0,0,2,0,0
10,0,2,eddy,south,ethanol,670.24,0,0,0,0,0,0,2,0,0,2,5,2,2,0,0,0,0,1,0,0,0
10,0,2,eddy,south,formalin,670.24,0,0,0,0,0,0,2,0,0,5,0,0,5,0,0,6,0,0,1,0,0
10,0,3,eddy,south,ethanol,618.993,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
10,0,3,eddy,south,formalin,618.993,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,0
10,25,4,eddy,south,formalin,759,0,0,2,0,0,0,0,0,0,2,5,2,15,3,0,1,2,0,0,5,0
10,25,5,eddy,south,ethanol,787,0,0,0,0,1,0,1,0,0,0,4,2,6,6,0,2,3,0,2,2,1
10,25,5,eddy,south,formalin,787,0,0,0,0,0,0,0,0,0,7,0,0,11,1,0,2,0,0,0,3,0
10,75,2,eddy,south,formalin,733.2,0,0,0,0,0,0,0,0,0,0,1,1,1,6,0,0,0,0,0,0,0
10,75,3,eddy,south,ethanol,779.2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
10,75,3,eddy,south,formalin,779.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,0,1,eddy,south,ethanol,530.85,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
11,0,1,eddy,south,formalin,530.85,0,0,0,0,0,0,0,0,0,2,2,0,4,1,0,1,0,0,1,0,0
11,0,2,eddy,south,ethanol,606.846,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
11,0,2,eddy,south,formalin,606.846,0,0,0,0,0,0,0,0,0,2,1,0,9,0,0,5,0,0,3,0,0
11,0,3,eddy,south,ethanol,576.05,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,2,0,0,1,0,0
11,0,3,eddy,south,formalin,576.05,0,0,0,1,0,0,0,0,0,10,3,0,13,0,0,5,0,0,5,0,0
11,25,4,eddy,south,formalin,718.7,0,0,1,0,0,1,0,0,0,6,18,7,34,4,0,8,3,0,0,2,0
11,25,5,eddy,south,ethanol,720,0,0,0,0,0,0,0,0,0,2,10,1,4,1,0,2,0,0,1,1,0
11,25,5,eddy,south,formalin,720,0,0,0,3,1,0,0,0,0,13,7,1,32,1,0,15,1,0,3,2,0
11,75,2,eddy,south,formalin,726.5,0,0,0,0,0,0,0,0,0,0,2,3,4,3,0,0,5,0,0,8,0
11,75,3,eddy,south,ethanol,918.4,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,1,2,0,0,0
11,75,3,eddy,south,formalin,918.4,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0
12,0,1,eddy,south,ethanol,487.423,0,0,0,0,0,0,0,0,0,0,6,2,1,1,0,1,1,0,1,0,0
12,0,1,eddy,south,formalin,487.423,0,0,0,0,0,0,0,0,0,3,2,0,9,0,0,6,0,0,0,0,0
12,0,2,eddy,south,ethanol,543.426,0,0,0,0,0,0,0,0,1,1,1,4,0,0,0,2,0,0,0,0,0
12,0,2,eddy,south,formalin,543.426,0,0,0,1,0,0,1,0,0,1,0,0,5,0,0,4,3,0,0,1,0
12,0,3,eddy,south,ethanol,687.224,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
12,0,3,eddy,south,formalin,687.224,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0
12,25,4,eddy,south,formalin,598.6,0,0,0,1,0,0,0,0,0,8,3,1,13,1,0,0,0,0,2,0,0
12,25,5,eddy,south,ethanol,695.2,0,2,0,0,0,0,1,1,0,0,4,3,3,0,0,0,4,0,0,0,0
12,25,5,eddy,south,formalin,695.2,0,1,0,0,0,0,3,0,0,5,4,0,37,0,0,3,2,0,4,5,0
12,75,2,eddy,south,formalin,719.2,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,1,1,0,0,0
12,75,3,eddy,south,ethanol,629.8,0,0,0,0,0,0,0,0,0,1,0,3,3,4,0,0,1,0,1,0,0
12,75,3,eddy,south,formalin,629.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
13,0,1,coast,south,ethanol,671.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,1,coast,south,formalin,671.181,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
13,0,2,coast,south,ethanol,678.705,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,0,2,coast,south,formalin,678.705,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
13,25,4,coast,south,formalin,890,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,25,5,coast,south,ethanol,1010,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,25,5,coast,south,formalin,1010,0,2,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0
13,75,2,coast,south,formalin,785.2,0,0,0,0,0,0,0,0,1,1,3,3,2,0,1,0,0,0,1,0,0
13,75,3,coast,south,ethanol,770.9,0,0,1,0,0,0,0,0,1,0,0,4,0,0,3,1,1,0,0,0,0
13,75,3,coast,south,formalin,770.9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
14,0,1,coast,south,ethanol,665.215,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,0,1,coast,south,formalin,665.215,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0
14,0,2,coast,south,ethanol,266.419,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
14,0,2,coast,south,formalin,266.419,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,1,0,0
14,25,4,coast,south,formalin,812.6,0,3,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
14,25,5,coast,south,ethanol,975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,25,5,coast,south,formalin,975,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,1,0,2,0,0
14,75,2,coast,south,formalin,767.2,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,0,0,2,0,0
14,75,3,coast,south,ethanol,952.9,0,0,0,0,1,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0
14,75,3,coast,south,formalin,952.9,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0
15,0,1,coast,south,ethanol,344.178,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,0,1,coast,south,formalin,344.178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,2,coast,south,ethanol,493.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,2,coast,south,formalin,493.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,25,4,coast,south,formalin,685.7,0,0,0,1,0,0,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0
15,25,5,coast,south,ethanol,715,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0
15,25,5,coast,south,formalin,715,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,75,2,coast,south,formalin,489.5,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
15,75,3,coast,south,ethanol,500.9,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
15,75,3,coast,south,formalin,500.9,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
16,25,4,coast,south,formalin,658.5,0,3,0,0,1,0,0,1,1,1,1,1,2,0,0,0,0,0,0,0,0
16,25,5,coast,south,ethanol,678.8,0,0,0,0,0,2,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0
16,25,5,coast,south,formalin,678.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,75,2,coast,south,formalin,461.8,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
16,75,3,coast,south,ethanol,463.7,0,3,0,0,1,3,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0
16,75,3,coast,south,formalin,463.7,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
